datetime,temp_c,dewpoint_c,wind_speed,wind_dir,precip_mm
2023-01-02 13:00:00,1.3,-7.0,6.89,241.3,0.0
2023-01-02 14:00:00,5.0,-5.2,5.98,239.2,0.4
2023-01-02 15:00:00,0.6,-4.5,7.08,355.5,0.0
2023-01-02 16:00:00,-0.8,-11.3,2.28,258.9,0.0
2023-01-02 17:00:00,-4.5,-13.4,4.62,197.7,0.0
2023-01-02 18:00:00,-7.7,-12.8,1.5,3.1,0.0
2023-01-02 19:00:00,-4.0,-17.7,2.42,280.6,0.0
2023-01-02 20:00:00,-9.3,-16.8,3.94,233.3,0.0
2023-01-02 21:00:00,-6.9,-12.7,3.78,278.8,0.0
2023-01-02 22:00:00,-5.9,-17.1,0.77,227.4,0.0
2023-01-02 23:00:00,-10.5,-17.9,8.05,272.2,0.0
2023-01-03 00:00:00,-12.8,-25.8,4.88,256.2,0.0
2023-01-03 01:00:00,-9.5,-15.5,2.32,143.5,0.0
2023-01-03 02:00:00,-8.1,-13.1,2.3,260.4,0.0
2023-01-03 03:00:00,-9.0,-22.8,4.21,241.4,0.0
2023-01-03 04:00:00,-7.0,-21.2,6.62,272.1,0.0
2023-01-03 05:00:00,-2.7,-12.1,7.87,298.9,0.0
2023-01-03 06:00:00,-1.0,-9.0,5.92,287.8,0.0
2023-01-03 07:00:00,-0.3,-7.0,4.91,156.2,0.0
2023-01-03 08:00:00,-1.8,-15.0,4.07,296.6,0.0
2023-01-03 09:00:00,1.3,-5.3,6.68,258.8,0.0
2023-01-03 10:00:00,3.7,-4.5,2.6,260.4,0.0
2023-01-03 11:00:00,2.8,-9.9,3.55,315.2,0.0
2023-01-03 12:00:00,2.2,-5.2,5.89,339.7,0.0
2023-01-03 13:00:00,1.7,-8.6,4.39,314.2,0.0
2023-01-03 14:00:00,1.2,-6.6,1.96,284.7,0.0
2023-01-03 15:00:00,0.0,-9.9,2.54,311.2,0.0
2023-01-03 16:00:00,-1.0,-12.4,6.43,290.6,0.0
2023-01-03 17:00:00,0.5,-9.8,3.86,304.4,0.0
2023-01-03 18:00:00,-5.2,-11.0,1.56,293.3,0.0
2023-01-03 19:00:00,-3.6,-11.5,2.12,178.1,0.0
2023-01-03 20:00:00,-6.2,-17.6,2.2,318.6,0.0
2023-01-03 21:00:00,-8.2,-13.5,2.0,248.5,0.0
2023-01-03 22:00:00,-11.3,-19.4,5.46,315.2,0.0
2023-01-03 23:00:00,-11.2,-19.6,1.98,329.7,0.0
2023-01-04 00:00:00,-6.7,-14.9,4.64,128.0,0.0
2023-01-04 01:00:00,-10.2,-18.9,4.02,267.4,0.0
2023-01-04 02:00:00,-8.6,-22.6,6.16,313.5,0.0
2023-01-04 03:00:00,-7.2,-21.9,4.48,298.7,0.0
2023-01-04 04:00:00,-5.0,-17.3,4.0,276.1,0.0
2023-01-04 05:00:00,-5.9,-11.4,2.38,310.9,0.0
2023-01-04 06:00:00,-4.8,-11.3,6.9,279.1,0.0
2023-01-04 07:00:00,-1.9,-9.1,0.42,215.0,0.0
2023-01-04 08:00:00,-0.6,-8.8,5.47,328.5,0.0
2023-01-04 09:00:00,2.9,-3.7,1.42,315.4,0.0
2023-01-04 10:00:00,2.8,-5.7,4.09,256.9,0.0
2023-01-04 11:00:00,3.6,-3.5,3.89,257.4,0.0
2023-01-04 12:00:00,3.7,-5.3,4.64,258.5,0.0
2023-01-04 13:00:00,5.6,-9.2,5.49,348.0,0.0
2023-01-04 14:00:00,,-5.2,3.02,313.8,0.0
2023-01-04 15:00:00,0.4,-12.9,5.24,183.6,0.0
2023-01-04 16:00:00,1.6,-5.5,3.8,275.9,0.0
2023-01-04 17:00:00,-2.0,-16.3,3.66,224.3,0.0
2023-01-04 18:00:00,,-12.2,12.2,2.9,0.0
2023-01-04 19:00:00,-6.9,-12.6,1.18,30.2,0.0
2023-01-04 20:00:00,-7.1,-21.3,0.91,258.6,0.0
2023-01-04 21:00:00,-7.7,-13.0,2.54,218.8,0.0
2023-01-04 22:00:00,-12.3,-18.6,5.74,357.1,0.0
2023-01-04 23:00:00,-11.8,-20.8,4.89,359.1,0.0
2023-01-05 00:00:00,-9.8,-18.4,6.82,290.4,0.0
2023-01-05 01:00:00,-5.9,-12.8,2.3,191.9,0.15
2023-01-05 02:00:00,-8.8,-19.3,5.01,271.8,0.0
2023-01-05 03:00:00,-8.7,-22.8,1.28,23.7,0.0
2023-01-05 04:00:00,-8.9,-15.8,2.62,219.5,0.0
2023-01-05 05:00:00,-4.7,-17.2,5.73,333.0,0.0
2023-01-05 06:00:00,-8.7,-15.9,4.49,258.9,0.0
2023-01-05 07:00:00,-2.0,-13.8,1.47,242.4,0.0
2023-01-05 08:00:00,-0.8,-8.2,3.1,290.5,0.0
2023-01-05 09:00:00,0.2,-8.5,5.61,22.9,0.0
2023-01-05 10:00:00,7.0,-4.7,4.64,251.0,0.0
2023-01-05 11:00:00,-1.9,-16.1,3.15,200.8,0.0
2023-01-05 12:00:00,3.3,-5.0,2.9,240.5,0.0
2023-01-05 13:00:00,3.2,-11.2,6.52,235.3,0.0
2023-01-05 14:00:00,3.3,-6.0,7.01,353.2,0.0
2023-01-05 15:00:00,-1.9,-12.7,7.42,223.6,0.0
2023-01-05 16:00:00,-1.1,-14.2,0.77,1.0,0.0
2023-01-05 17:00:00,-4.9,-14.7,9.38,250.5,0.0
2023-01-05 18:00:00,-3.9,-17.2,7.91,256.4,0.0
2023-01-05 19:00:00,-5.1,-16.3,2.33,295.7,0.0
2023-01-05 20:00:00,-6.8,-17.9,2.96,120.3,0.0
2023-01-05 21:00:00,-9.0,-18.6,5.91,171.4,0.0
2023-01-05 22:00:00,-9.4,-19.4,9.43,259.9,0.0
2023-01-05 23:00:00,-10.1,-16.7,3.22,194.7,0.0
2023-01-06 00:00:00,-9.9,-18.4,4.67,235.3,0.0
2023-01-06 01:00:00,-10.4,-21.4,4.81,265.4,0.0
2023-01-06 02:00:00,-13.4,-23.5,4.98,174.7,0.0
2023-01-06 03:00:00,-10.3,-23.2,3.54,262.0,0.0
2023-01-06 04:00:00,-6.5,-20.9,1.78,261.2,0.0
2023-01-06 05:00:00,-7.4,-16.1,5.3,313.2,0.0
2023-01-06 06:00:00,-5.3,-17.2,3.9,317.2,0.0
2023-01-06 07:00:00,-1.7,-7.3,7.1,306.6,0.0
2023-01-06 08:00:00,-0.3,-8.8,1.34,207.7,0.0
2023-01-06 09:00:00,3.0,-9.7,7.7,139.2,0.0
2023-01-06 10:00:00,3.4,-8.7,3.88,347.5,0.0
2023-01-06 11:00:00,2.2,-11.2,3.22,251.8,0.0
2023-01-06 12:00:00,3.5,-3.1,1.03,304.2,0.0
2023-01-06 13:00:00,-2.7,-12.3,5.07,295.7,0.0
2023-01-06 14:00:00,0.7,-4.9,5.04,289.5,0.0
2023-01-06 15:00:00,0.9,-8.1,6.55,347.3,0.0
2023-01-06 16:00:00,-5.0,-11.9,7.35,276.4,0.0
2023-01-06 17:00:00,-2.6,-17.0,2.17,305.3,0.0
2023-01-06 18:00:00,-3.2,-13.8,7.0,47.1,0.9
2023-01-06 19:00:00,-3.5,-8.8,5.52,277.6,0.0
2023-01-06 20:00:00,-6.4,-17.9,7.66,259.0,0.0
2023-01-06 21:00:00,-4.9,-17.8,3.15,346.7,0.0
2023-01-06 22:00:00,-6.7,-21.0,4.77,243.8,0.0
2023-01-06 23:00:00,-13.8,-19.9,6.49,202.5,0.0
2023-01-07 00:00:00,-11.2,-25.6,5.39,254.9,0.0
2023-01-07 01:00:00,-10.8,-21.7,4.56,243.3,0.0
2023-01-07 02:00:00,-9.7,-18.3,3.1,243.4,0.0
2023-01-07 03:00:00,-9.9,-17.4,1.85,237.0,0.0
2023-01-07 04:00:00,-6.1,-11.5,3.17,285.1,0.0
2023-01-07 05:00:00,-4.1,-17.2,5.07,191.3,0.0
2023-01-07 06:00:00,-6.8,-18.3,3.33,257.8,0.0
2023-01-07 07:00:00,-0.1,-6.1,2.58,289.7,0.0
2023-01-07 08:00:00,-1.6,-8.7,5.59,245.6,0.0
2023-01-07 09:00:00,3.3,-2.7,8.3,236.4,0.0
2023-01-07 10:00:00,3.4,-5.1,1.68,273.9,0.0
2023-01-07 11:00:00,2.7,-4.0,4.23,240.1,0.0
2023-01-07 12:00:00,7.2,-0.1,6.64,225.4,0.0
2023-01-07 13:00:00,4.8,-9.3,4.84,241.1,0.0
2023-01-07 14:00:00,2.4,-12.2,2.14,157.0,0.0
2023-01-07 15:00:00,1.7,-12.2,0.13,171.3,0.0
2023-01-07 16:00:00,4.6,-2.0,2.3,272.1,0.0
2023-01-07 17:00:00,0.9,-12.7,5.09,247.6,0.0
2023-01-07 18:00:00,-1.9,-10.2,4.84,194.2,0.0
2023-01-07 19:00:00,-5.2,-12.6,7.47,208.2,0.0
2023-01-07 20:00:00,-6.1,-12.3,5.4,232.8,0.0
2023-01-07 21:00:00,-8.4,-22.0,2.51,306.6,0.0
2023-01-07 22:00:00,-12.9,-22.2,0.9,218.3,0.0
2023-01-07 23:00:00,-8.8,-16.8,1.53,239.6,0.94
2023-01-08 00:00:00,-10.0,-20.3,3.21,285.4,0.0
2023-01-08 01:00:00,-13.3,-20.3,1.28,296.2,0.0
2023-01-08 02:00:00,-11.2,-23.6,3.3,214.2,0.0
2023-01-08 03:00:00,-9.3,-16.8,7.78,189.0,0.0
2023-01-08 04:00:00,-6.7,-14.8,2.49,151.4,0.0
2023-01-08 05:00:00,-2.2,-16.7,3.15,248.5,0.0
2023-01-08 06:00:00,-3.8,-9.8,0.31,206.7,0.0
2023-01-08 07:00:00,-5.9,-11.7,3.42,243.7,0.0
2023-01-08 08:00:00,1.0,-13.1,4.97,220.6,0.0
2023-01-08 09:00:00,0.8,-5.7,5.01,290.7,0.0
2023-01-08 10:00:00,-1.2,-8.2,6.25,277.4,0.0
2023-01-08 11:00:00,-1.6,-7.7,4.08,323.8,0.0
2023-01-08 12:00:00,1.1,-7.6,4.41,315.0,0.0
2023-01-08 13:00:00,3.7,-2.7,0.37,246.3,0.0
2023-01-08 14:00:00,0.7,-12.6,3.34,224.8,1.13
2023-01-08 15:00:00,2.3,-12.3,5.38,226.6,0.0
2023-01-08 16:00:00,-0.9,-14.0,1.67,316.1,0.0
2023-01-08 17:00:00,-1.6,-16.0,7.52,242.6,0.0
2023-01-08 18:00:00,-2.4,-13.4,7.06,313.0,0.0
2023-01-08 19:00:00,-4.5,-11.0,5.69,222.8,0.0
2023-01-08 20:00:00,-9.4,-21.1,2.63,187.6,0.0
2023-01-08 21:00:00,-4.9,-14.9,2.86,273.9,0.0
2023-01-08 22:00:00,-13.8,-26.2,1.31,269.8,0.0
2023-01-08 23:00:00,-11.0,-21.7,3.25,222.8,0.0
2023-01-09 00:00:00,-12.9,-19.2,6.82,269.1,0.0
2023-01-09 01:00:00,-8.2,-22.4,6.31,252.7,0.0
2023-01-09 02:00:00,-12.5,-25.0,3.08,304.3,0.0
2023-01-09 03:00:00,-10.9,-16.2,4.49,293.9,0.0
2023-01-09 04:00:00,-9.6,-23.1,4.53,5.7,0.0
2023-01-09 05:00:00,-8.4,-13.6,5.87,297.5,0.0
2023-01-09 06:00:00,-5.0,-13.7,9.44,247.9,0.0
2023-01-09 07:00:00,-1.7,-15.7,1.84,308.2,0.0
2023-01-09 08:00:00,-2.3,-12.8,1.6,261.2,0.0
2023-01-09 09:00:00,-2.3,-16.2,2.01,255.1,0.0
2023-01-09 10:00:00,1.6,-12.3,2.8,191.4,0.0
2023-01-09 11:00:00,2.8,-3.9,2.62,211.3,0.0
2023-01-09 12:00:00,4.5,-10.5,4.03,247.9,0.0
2023-01-09 13:00:00,1.3,-12.5,4.75,123.7,0.0
2023-01-09 14:00:00,1.8,-6.1,5.13,213.9,0.0
2023-01-09 15:00:00,2.9,-3.9,4.26,234.5,0.0
2023-01-09 16:00:00,-2.4,-8.9,6.04,322.6,3.29
2023-01-09 17:00:00,-2.3,-16.4,4.29,258.1,0.0
2023-01-09 18:00:00,-4.6,-17.1,5.5,297.8,0.0
2023-01-09 19:00:00,-8.6,-14.5,4.99,212.4,0.0
2023-01-09 20:00:00,-7.6,-17.6,3.08,293.7,0.0
2023-01-09 21:00:00,-6.6,-14.8,7.07,153.7,0.0
2023-01-09 22:00:00,-5.5,-17.1,5.43,242.2,0.0
2023-01-09 23:00:00,-13.5,-24.5,2.47,157.1,0.0
2023-01-10 00:00:00,-9.0,-23.7,2.84,317.7,0.0
2023-01-10 01:00:00,-8.4,-18.0,1.98,9.9,0.0
2023-01-10 02:00:00,-7.5,-13.0,1.91,310.3,0.0
2023-01-10 03:00:00,-9.7,-21.9,4.58,231.1,0.0
2023-01-10 04:00:00,-6.8,-13.9,1.35,291.0,0.0
2023-01-10 05:00:00,-6.9,-20.8,9.12,335.7,0.0
2023-01-10 06:00:00,-2.8,-13.3,4.97,276.9,0.0
2023-01-10 07:00:00,0.3,-6.4,1.44,76.8,0.0
2023-01-10 08:00:00,-0.9,-8.1,2.62,319.9,0.0
2023-01-10 09:00:00,1.5,-13.1,4.75,356.1,0.0
2023-01-10 10:00:00,3.9,-3.6,3.79,232.7,7.86
2023-01-10 11:00:00,4.3,-0.7,5.64,292.3,0.0
2023-01-10 12:00:00,1.8,-11.0,4.42,201.5,0.0
2023-01-10 13:00:00,5.6,-3.1,5.57,272.1,0.0
2023-01-10 14:00:00,3.1,-9.5,5.8,274.5,0.0
2023-01-10 15:00:00,1.4,-11.2,3.67,292.7,0.0
2023-01-10 16:00:00,-0.3,-13.6,2.77,13.9,0.0
2023-01-10 17:00:00,-0.7,-13.3,3.14,266.7,0.0
2023-01-10 18:00:00,-1.8,-13.6,1.67,249.6,0.0
2023-01-10 19:00:00,-8.2,-18.0,3.87,178.3,0.0
2023-01-10 20:00:00,-9.1,-16.3,6.77,251.0,0.0
2023-01-10 21:00:00,-12.3,-19.6,5.87,237.3,0.0
2023-01-10 22:00:00,-9.1,-14.9,2.75,342.7,0.0
2023-01-10 23:00:00,-9.9,-24.7,4.32,192.6,0.0
2023-01-11 00:00:00,-11.6,-21.5,0.8,198.1,0.0
2023-01-11 01:00:00,-12.9,-21.2,7.25,166.9,0.0
2023-01-11 02:00:00,-7.4,-18.4,2.07,345.6,0.0
2023-01-11 03:00:00,-5.7,-16.5,0.59,23.1,0.0
2023-01-11 04:00:00,-4.3,-12.1,2.2,17.1,0.0
2023-01-11 05:00:00,-5.6,-18.1,2.32,13.9,0.0
2023-01-11 06:00:00,-3.6,-8.9,5.1,187.8,0.0
2023-01-11 07:00:00,-1.8,-8.8,2.47,312.0,0.0
2023-01-11 08:00:00,-0.7,-8.1,1.02,356.9,0.0
2023-01-11 09:00:00,-1.4,-7.9,6.12,359.0,0.0
2023-01-11 10:00:00,0.9,-6.2,4.42,276.0,0.0
2023-01-11 11:00:00,4.5,-5.0,3.65,319.7,0.0
2023-01-11 12:00:00,3.1,-10.8,6.31,238.2,0.0
2023-01-11 13:00:00,1.9,-10.2,4.41,263.3,0.0
2023-01-11 14:00:00,1.6,-6.1,7.44,193.0,0.0
2023-01-11 15:00:00,4.5,-8.6,6.19,217.3,0.0
2023-01-11 16:00:00,2.6,-6.5,1.44,280.0,0.0
2023-01-11 17:00:00,0.1,-10.4,2.43,336.2,0.0
2023-01-11 18:00:00,-3.6,-11.2,0.61,315.9,0.0
2023-01-11 19:00:00,-8.1,-18.2,5.79,275.1,0.0
2023-01-11 20:00:00,-7.0,-14.9,4.92,327.5,0.0
2023-01-11 21:00:00,-9.5,-19.7,4.53,211.4,0.0
2023-01-11 22:00:00,-8.7,-15.3,3.4,336.8,0.0
2023-01-11 23:00:00,-8.6,-23.3,2.61,269.3,0.0
2023-01-12 00:00:00,-12.3,-21.7,3.45,246.4,0.0
2023-01-12 01:00:00,-8.1,-13.8,3.68,276.0,0.0
2023-01-12 02:00:00,-9.9,-18.5,1.42,197.2,0.0
2023-01-12 03:00:00,-8.7,-15.9,2.82,234.8,0.0
2023-01-12 04:00:00,-8.6,-17.9,5.21,315.7,0.0
2023-01-12 05:00:00,-6.1,-14.3,5.71,336.7,0.0
2023-01-12 06:00:00,-3.8,-16.7,10.14,342.2,0.0
2023-01-12 07:00:00,-2.5,-7.7,3.97,16.5,0.0
2023-01-12 08:00:00,-1.1,-6.1,3.91,241.6,0.0
2023-01-12 09:00:00,0.2,-11.3,3.53,216.8,0.0
2023-01-12 10:00:00,6.2,1.0,7.55,222.0,0.0
2023-01-12 11:00:00,2.4,-3.3,4.16,270.0,0.0
2023-01-12 12:00:00,4.6,-4.2,6.07,307.5,0.0
2023-01-12 13:00:00,3.0,-4.4,6.6,160.8,0.0
2023-01-12 14:00:00,-3.7,-11.3,1.08,266.4,0.0
2023-01-12 15:00:00,7.3,-7.0,2.59,306.7,0.0
2023-01-12 16:00:00,-0.4,-10.5,2.01,277.9,0.0
2023-01-12 17:00:00,-3.2,-13.1,3.91,256.4,0.0
2023-01-12 18:00:00,,-16.2,0.31,195.1,0.0
2023-01-12 19:00:00,-2.8,-17.3,3.45,163.6,0.0
2023-01-12 20:00:00,-8.6,-22.1,3.89,350.9,0.0
2023-01-12 21:00:00,-10.6,-24.5,1.17,347.2,0.0
2023-01-12 22:00:00,-11.8,-25.4,3.08,300.1,0.0
2023-01-12 23:00:00,-10.0,-21.3,7.92,333.7,0.0
2023-01-13 00:00:00,-10.6,-16.8,4.3,259.1,0.0
2023-01-13 01:00:00,-9.2,-17.5,3.57,315.7,0.0
2023-01-13 02:00:00,-10.2,-15.5,6.13,276.7,0.0
2023-01-13 03:00:00,-9.9,-17.7,5.12,244.3,0.0
2023-01-13 04:00:00,-7.2,-16.3,,306.1,0.0
2023-01-13 05:00:00,-6.9,-20.9,0.3,196.9,0.0
2023-01-13 06:00:00,-2.6,-15.0,1.5,225.4,0.0
2023-01-13 07:00:00,-1.3,-7.9,4.68,321.7,0.0
2023-01-13 08:00:00,0.7,-12.7,5.9,124.6,0.0
2023-01-13 09:00:00,1.9,-11.3,2.98,252.3,0.0
2023-01-13 10:00:00,1.3,-8.7,2.69,328.6,0.0
2023-01-13 11:00:00,-0.6,-6.7,2.12,300.4,0.0
2023-01-13 12:00:00,5.6,-4.3,0.55,265.5,0.0
2023-01-13 13:00:00,5.0,-0.8,5.34,253.9,2.51
2023-01-13 14:00:00,0.6,-11.5,3.9,208.6,0.0
2023-01-13 15:00:00,2.8,-5.3,5.97,178.0,0.0
2023-01-13 16:00:00,-0.1,-12.4,4.17,311.8,0.0
2023-01-13 17:00:00,-2.3,-11.8,2.22,328.4,0.0
2023-01-13 18:00:00,-4.0,-14.5,3.03,326.2,0.0
2023-01-13 19:00:00,-7.4,-12.8,4.26,214.0,0.0
2023-01-13 20:00:00,-7.7,-14.3,3.56,352.8,0.0
2023-01-13 21:00:00,-8.8,-21.9,3.24,213.5,0.0
2023-01-13 22:00:00,-9.6,-16.8,1.45,282.4,0.0
2023-01-13 23:00:00,-12.0,-19.5,3.52,237.0,0.0
2023-01-14 00:00:00,-10.2,-25.0,5.36,223.2,0.0
2023-01-14 01:00:00,-11.9,-24.6,3.84,248.1,0.0
2023-01-14 02:00:00,-11.0,-18.2,7.01,234.3,0.0
2023-01-14 03:00:00,-8.8,-22.1,5.73,196.2,0.0
2023-01-14 04:00:00,-8.4,-17.3,6.04,265.8,0.0
2023-01-14 05:00:00,-7.9,-16.8,9.76,274.2,0.0
2023-01-14 06:00:00,-5.0,-16.2,6.97,299.1,0.0
2023-01-14 07:00:00,-3.6,-14.1,2.28,319.3,0.0
2023-01-14 08:00:00,,-10.3,3.62,274.0,0.0
2023-01-14 09:00:00,2.3,-9.5,3.66,194.6,0.0
2023-01-14 10:00:00,3.2,-3.3,3.89,294.0,0.0
2023-01-14 11:00:00,1.4,-7.8,1.0,243.3,0.0
2023-01-14 12:00:00,2.3,-7.3,1.98,233.0,0.0
2023-01-14 13:00:00,3.3,-10.8,4.13,21.5,0.0
2023-01-14 14:00:00,-1.2,-13.8,3.19,290.2,0.0
2023-01-14 15:00:00,2.7,-9.5,2.12,348.7,0.0
2023-01-14 16:00:00,2.0,-10.3,5.18,195.5,0.0
2023-01-14 17:00:00,-0.8,-12.1,2.63,305.2,0.0
2023-01-14 18:00:00,-8.4,-20.2,2.5,255.9,0.0
2023-01-14 19:00:00,-5.3,-14.4,6.38,312.5,0.0
2023-01-14 20:00:00,-11.2,-22.1,8.73,320.7,0.0
2023-01-14 21:00:00,-7.1,-18.2,1.73,22.8,0.0
2023-01-14 22:00:00,-14.4,-28.5,1.7,171.4,0.0
2023-01-14 23:00:00,-13.6,-24.9,2.39,300.1,0.0
2023-01-15 00:00:00,-10.3,-16.6,4.31,227.4,0.0
2023-01-15 01:00:00,-13.6,-27.5,1.31,261.1,0.0
2023-01-15 02:00:00,-15.6,-26.0,7.82,307.6,0.0
2023-01-15 03:00:00,-11.1,-20.5,5.26,235.2,0.0
2023-01-15 04:00:00,-6.6,-21.1,1.65,273.9,0.0
2023-01-15 05:00:00,-8.2,-17.4,6.85,232.2,0.0
2023-01-15 06:00:00,-6.2,-11.6,2.37,292.0,0.0
2023-01-15 07:00:00,-1.9,-10.3,4.26,178.7,0.0
2023-01-15 08:00:00,-0.5,-13.1,5.67,255.2,0.0
2023-01-15 09:00:00,3.4,-3.6,3.58,344.5,0.0
2023-01-15 10:00:00,3.8,-4.9,0.77,214.5,0.0
2023-01-15 11:00:00,2.1,-6.0,4.01,344.1,0.0
2023-01-15 12:00:00,1.6,-9.1,2.49,158.9,0.0
2023-01-15 13:00:00,4.9,-6.0,4.51,180.7,0.0
2023-01-15 14:00:00,0.7,-13.8,2.5,268.5,0.0
2023-01-15 15:00:00,-1.3,-7.7,2.76,355.2,0.0
2023-01-15 16:00:00,0.4,-5.1,4.65,314.2,0.0
2023-01-15 17:00:00,-3.4,-17.5,3.76,334.8,0.0
2023-01-15 18:00:00,-7.1,-15.5,0.93,216.9,0.0
2023-01-15 19:00:00,-4.6,-15.4,3.08,358.1,0.0
2023-01-15 20:00:00,-5.7,-15.4,2.8,195.0,0.0
2023-01-15 21:00:00,-11.4,-21.4,3.34,250.8,0.0
2023-01-15 22:00:00,-10.8,-20.1,1.93,295.1,0.0
2023-01-15 23:00:00,-11.7,-22.1,8.42,292.5,0.0
2023-01-16 00:00:00,-11.3,-26.0,3.98,291.2,0.0
2023-01-16 01:00:00,-11.7,-25.7,2.79,309.2,0.0
2023-01-16 02:00:00,-13.1,-21.2,4.99,270.4,0.0
2023-01-16 03:00:00,-8.9,-14.6,1.66,268.4,0.0
2023-01-16 04:00:00,-8.2,-19.7,5.56,277.0,0.0
2023-01-16 05:00:00,-5.6,-17.4,3.76,342.5,0.0
2023-01-16 06:00:00,-2.7,-11.3,2.52,358.9,0.0
2023-01-16 07:00:00,-0.6,-12.4,1.79,251.0,0.0
2023-01-16 08:00:00,0.3,-5.7,3.49,289.4,0.0
2023-01-16 09:00:00,-4.3,-17.4,3.06,223.6,0.19
2023-01-16 10:00:00,-0.0,-8.1,3.88,222.4,0.0
2023-01-16 11:00:00,2.9,-3.3,6.13,247.8,0.0
2023-01-16 12:00:00,4.6,-7.1,3.91,298.8,0.0
2023-01-16 13:00:00,0.7,-9.8,5.21,302.3,0.0
2023-01-16 14:00:00,0.5,-10.8,1.76,324.0,0.0
2023-01-16 15:00:00,4.4,-8.0,0.94,274.4,0.0
2023-01-16 16:00:00,-5.6,-20.3,6.48,315.8,0.0
2023-01-16 17:00:00,-2.9,-11.4,1.73,349.6,0.0
2023-01-16 18:00:00,-5.4,-11.8,2.97,167.2,0.0
2023-01-16 19:00:00,-6.6,-16.1,2.34,296.1,0.0
2023-01-16 20:00:00,-8.2,-17.8,0.5,318.1,0.0
2023-01-16 21:00:00,-7.7,-19.0,7.46,312.0,0.0
2023-01-16 22:00:00,-8.2,-20.4,1.6,290.6,0.0
2023-01-16 23:00:00,-4.6,-10.6,2.46,180.9,0.0
2023-01-17 00:00:00,-7.4,-22.0,5.4,176.0,0.0
2023-01-17 01:00:00,-10.9,-18.2,0.53,281.9,0.0
2023-01-17 02:00:00,-9.5,-17.6,3.69,257.1,0.0
2023-01-17 03:00:00,-6.8,-21.5,3.57,171.0,0.0
2023-01-17 04:00:00,-2.1,-16.1,2.98,231.1,0.0
2023-01-17 05:00:00,-6.2,-17.3,2.92,261.0,0.0
2023-01-17 06:00:00,-3.2,-15.7,4.02,265.9,0.0
2023-01-17 07:00:00,-2.5,-12.5,2.86,268.2,8.84
2023-01-17 08:00:00,1.9,-9.2,2.47,251.2,0.0
2023-01-17 09:00:00,-1.8,-12.2,3.21,265.7,0.0
2023-01-17 10:00:00,2.4,-11.9,3.04,186.2,0.0
2023-01-17 11:00:00,0.1,-12.3,2.12,261.7,0.0
2023-01-17 12:00:00,3.6,-6.5,10.08,16.0,0.0
2023-01-17 13:00:00,4.4,-7.6,1.75,244.3,0.0
2023-01-17 14:00:00,1.3,-7.5,2.64,309.0,0.0
2023-01-17 15:00:00,0.5,-8.0,3.41,248.8,0.0
2023-01-17 16:00:00,1.8,-11.5,3.0,194.9,0.0
2023-01-17 17:00:00,-2.4,-13.0,2.2,326.5,0.0
